epoch,mean_reward,avg_wait,r_morning,r_off,r_evening,pg_loss,v_loss
110,-2.282407522201538,0.0,-2.311864406779661,-2.077777777777778,-2.7153846153846155,-0.7908884286880493,683.3109741210938
111,-2.1194443702697754,0.0,-2.077651515151515,-1.863888888888889,-2.7135416666666665,0.5160002112388611,823.5330810546875
112,-2.1083333492279053,0.0,-1.9666136724960255,-2.283333333333333,-2.3956043956043955,-0.23738586902618408,510.2013854980469
113,-2.075000047683716,0.0,-1.8708333333333333,-2.4833333333333334,0,0.03372862935066223,474.4978332519531
114,-2.0564815998077393,0.0,-2.1166666666666667,-1.9361111111111111,0,0.23759725689888,630.4784545898438
115,-2.2314815521240234,0.0,-2.2762762762762763,-2.075,-2.7222222222222223,-0.9141501188278198,613.0716552734375
116,-2.2231481075286865,0.0,-2.2133333333333334,-1.9805555555555556,-2.6974358974358976,-0.21615567803382874,812.387451171875
117,-2.073148250579834,0.0,-1.944043321299639,-1.9916666666666667,-2.680722891566265,0.06406392902135849,399.64703369140625
118,-2.0935184955596924,0.0,-1.9333333333333333,-2.4138888888888888,0,-0.46347060799598694,575.8721313476562
119,-2.0203704833984375,0.0,-1.9694444444444446,-2.1222222222222222,0,-0.07109874486923218,515.4702758789062
120,-2.1407406330108643,0.0,-2.1875,-2.047222222222222,0,-0.7630752325057983,560.7913208007812
121,-2.149074077606201,0.0,-2.1971830985915495,-1.8944444444444444,-2.5723684210526314,-0.4174869954586029,569.5844116210938
122,-2.0898149013519287,0.0,-1.9323308270676691,-2.0305555555555554,-2.648936170212766,0.18116694688796997,758.0615844726562
123,-2.055555582046509,0.0,-1.9207772795216742,-2.225,-2.627450980392157,-0.15217755734920502,428.11578369140625
124,-2.032407522201538,0.0,-1.9361111111111111,-2.225,0,-0.3175427317619324,485.4119873046875
125,-2.0370371341705322,0.0,-2.120833333333333,-1.8694444444444445,0,-0.19919031858444214,540.8427124023438
126,-2.163888931274414,0.0,-2.184692179700499,-2.0027777777777778,-2.546218487394958,-0.7302941083908081,638.9114379882812
127,-2.194444417953491,0.0,-2.1473880597014925,-1.975,-2.760869565217391,-0.01570293866097927,839.4271240234375
128,-2.0611112117767334,0.0,-1.8711180124223603,-2.2694444444444444,-2.6842105263157894,-0.11950697749853134,438.0321960449219
129,-1.959259271621704,0.0,-1.8152777777777778,-2.2472222222222222,0,0.44451308250427246,474.0716247558594
130,-2.0916666984558105,0.0,-2.1180555555555554,-2.0388888888888888,0,-0.27640777826309204,488.76446533203125
131,-2.1564815044403076,0.0,-2.183574879227053,-1.9388888888888889,-2.7777777777777777,-0.7927976846694946,675.3224487304688
132,-2.1129629611968994,0.0,-1.9944029850746268,-1.961111111111111,-2.755434782608696,0.39485520124435425,832.8656616210938
133,-2.1111111640930176,0.0,-2.025518341307815,-2.172222222222222,-2.4516129032258065,-0.446058988571167,511.2405090332031
134,-2.014814853668213,0.0,-1.8944444444444444,-2.2555555555555555,0,0.5544649958610535,408.9679870605469
135,-2.0462963581085205,0.0,-2.0819444444444444,-1.975,0,0.18901517987251282,438.48089599609375
136,-2.211111068725586,0.0,-2.305246422893482,-2.0,-2.3956043956043955,-0.839966356754303,560.1796875
137,-2.157407522201538,0.0,-2.1639042357274403,-1.9777777777777779,-2.5028248587570623,0.36848580837249756,852.6554565429688
138,-2.0824074745178223,0.0,-1.9273301737756714,-2.2444444444444445,-2.5402298850574714,0.032362278550863266,505.5796813964844
139,-1.9953703880310059,0.0,-1.8625,-2.261111111111111,0,0.23229101300239563,486.40191650390625
140,-2.025925874710083,0.0,-2.0208333333333335,-2.036111111111111,0,0.03877854347229004,447.14434814453125
141,-2.11388897895813,0.0,-2.2141732283464566,-1.8694444444444445,-2.4,-0.2335175722837448,566.2374267578125
142,-2.116666555404663,0.0,-2.026022304832714,-1.9722222222222223,-2.67032967032967,0.481644868850708,813.2161865234375
143,-2.0462963581085205,0.0,-1.8899521531100478,-2.2444444444444445,-2.3333333333333335,-0.2691594064235687,519.1661987304688
144,-2.0231480598449707,0.0,-1.8083333333333333,-2.452777777777778,0,0.0022081462666392326,572.8558349609375
145,-2.0527777671813965,0.0,-2.1222222222222222,-1.913888888888889,0,-0.32645392417907715,535.0366821289062
146,-2.131481409072876,0.0,-2.2183544303797467,-1.913888888888889,-2.397727272727273,-0.2643420398235321,507.330322265625
147,-2.0574073791503906,0.0,-1.974074074074074,-1.9083333333333334,-2.6055555555555556,0.6496639847755432,777.7980346679688
148,-2.069444417953491,0.0,-1.9204545454545454,-2.1638888888888888,-2.625,-0.5838527679443359,510.806884765625
149,-1.9509259462356567,0.0,-1.7527777777777778,-2.3472222222222223,0,0.2372184544801712,435.3662414550781
150,-1.9888888597488403,0.0,-2.0125,-1.9416666666666667,0,0.21432331204414368,415.7679138183594
151,-2.1240739822387695,0.0,-2.096923076923077,-2.036111111111111,-2.8285714285714287,-0.8347183465957642,609.6065673828125
152,-2.066666603088379,0.0,-2.0615671641791047,-1.836111111111111,-2.532608695652174,0.58567214012146,726.22265625
153,-2.0527777671813965,0.0,-1.88107202680067,-2.1416666666666666,-2.6260162601626016,-0.3875483274459839,517.7588500976562
154,-2.032407522201538,0.0,-1.825,-2.4472222222222224,0,0.17767702043056488,440.19854736328125
155,-2.0351850986480713,0.0,-2.066666666666667,-1.9722222222222223,0,-0.3316480815410614,582.2460327148438
156,-2.1194443702697754,0.0,-2.1994091580502215,-1.9222222222222223,-2.511627906976744,-0.730790376663208,529.3976440429688
157,-2.1731481552124023,0.0,-2.1374764595103577,-1.9305555555555556,-2.7354497354497354,-0.3442085087299347,839.5574340820312
158,-2.024074077606201,0.0,-1.9422066549912433,-2.0166666666666666,-2.3557046979865772,-0.22069062292575836,479.328369140625
159,-2.0138888359069824,0.0,-1.8208333333333333,-2.4,0,-0.13062436878681183,491.5936279296875
160,-2.038888931274414,0.0,-2.0166666666666666,-2.0833333333333335,0,-0.04605460911989212,578.1128540039062
161,-2.0851852893829346,0.0,-2.198005698005698,-1.8472222222222223,-2.4444444444444446,-0.49796155095100403,590.4878540039062
162,-2.0620369911193848,0.0,-2.044943820224719,-1.8722222222222222,-2.478494623655914,0.6133827567100525,764.9112548828125
163,-2.027777671813965,0.0,-1.9419475655430711,-1.988888888888889,-2.349462365591398,-0.2916395962238312,549.73974609375
164,-2.024074077606201,0.0,-1.8208744710860367,-2.397222222222222,-2.909090909090909,-0.1553666591644287,466.51763916015625
165,-1.9490740299224854,0.0,-1.8777777777777778,-2.091666666666667,0,0.38774701952934265,461.19329833984375
166,-2.075000047683716,0.0,-2.1416666666666666,-1.9416666666666667,0,-0.01188557967543602,472.67767333984375
167,-2.1212964057922363,0.0,-2.1261101243339255,-1.9083333333333334,-2.5923566878980893,-0.604338526725769,698.0701293945312
168,-2.112036943435669,0.0,-2.0037383177570094,-2.022222222222222,-2.6,0.2924097776412964,744.7783203125
169,-1.994444489479065,0.0,-1.8252569750367107,-2.286111111111111,-2.2564102564102564,0.10959640145301819,494.4542236328125
170,-1.974074125289917,0.0,-1.8402777777777777,-2.2416666666666667,0,0.1263105571269989,554.04443359375
171,-2.017592668533325,0.0,-2.1277777777777778,-1.7972222222222223,0,0.16153454780578613,547.4129638671875
172,-2.1648147106170654,0.0,-2.2315436241610738,-1.9694444444444446,-2.411290322580645,-0.7268880009651184,550.8516235351562
173,-2.0250000953674316,0.0,-1.943609022556391,-1.8805555555555555,-2.5319148936170213,1.2603111267089844,774.0563354492188
174,-2.1731481552124023,0.0,-2.006269592476489,-2.375,-2.5853658536585367,-0.43736499547958374,550.3101196289062
175,-2.0055556297302246,0.0,-1.8097222222222222,-2.397222222222222,0,0.13811519742012024,514.7352294921875
176,-2.01111102104187,0.0,-2.047222222222222,-1.9388888888888889,0,0.2856547236442566,458.7596435546875
177,-2.1240739822387695,0.0,-2.24653312788906,-1.8305555555555555,-2.492957746478873,-0.631369948387146,513.361083984375
178,-2.172222137451172,0.0,-2.168560606060606,-1.9472222222222222,-2.6041666666666665,-0.024124566465616226,827.8219604492188
179,-1.9981482028961182,0.0,-1.8324697754749568,-2.077777777777778,-2.475177304964539,-0.036630064249038696,513.602294921875
180,-2.017592668533325,0.0,-1.7666666666666666,-2.5194444444444444,0,-0.24825643002986908,577.1484375
181,-1.9500000476837158,0.0,-1.9125,-2.025,0,0.2837190330028534,455.80487060546875
182,-2.0935184955596924,0.0,-2.176803394625177,-1.9194444444444445,-2.3846153846153846,-0.46662113070487976,537.6832275390625
183,-2.058333396911621,0.0,-2.046468401486989,-1.8583333333333334,-2.489010989010989,0.6546483635902405,814.0399780273438
184,-2.0314815044403076,0.0,-1.9182156133828996,-1.9388888888888889,-2.5494505494505493,-0.07630423456430435,447.8708190917969
